survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,embark_town,alone,age_z,fare_z
0,3,male,22.0,1,0,7.25,S,True,Southampton,False,-0.563356950237803,-0.4999583222338398
1,1,female,38.0,1,0,71.2833,C,False,Cherbourg,False,0.668840464281964,0.7885027560515833
1,3,female,26.0,0,0,7.925,S,False,Southampton,True,-0.25530759660786123,-0.4863761512721267
1,1,female,35.0,1,0,53.1,S,False,Southampton,False,0.4378034490595077,0.4226232164247433
0,3,male,35.0,0,0,8.05,S,True,Southampton,True,0.4378034490595077,-0.48386093442736505
0,3,male,28.0,0,0,8.4583,Q,True,Queenstown,True,-0.10128291979289035,-0.4756452301256355
0,1,male,54.0,0,0,51.8625,S,True,Southampton,True,1.9010378788017308,0.39772256966160263
0,3,male,2.0,3,1,21.075,S,False,Southampton,False,-2.1036037183875114,-0.22177533920319834
1,3,female,27.0,0,2,11.1333,S,False,Southampton,False,-0.17829525820037578,-0.42181958964773564
1,2,female,14.0,1,0,30.0708,C,False,Cherbourg,False,-1.1794556574976864,-0.04076423766634161
1,3,female,4.0,1,1,16.7,S,False,Southampton,False,-1.9495790415725407,-0.309807928769857
1,1,female,58.0,0,0,26.55,S,False,Southampton,True,2.209087232431673,-0.11160884140263685
0,3,male,20.0,0,0,8.05,S,True,Southampton,True,-0.7173816270527738,-0.48386093442736505
0,3,male,39.0,1,5,31.275,S,True,Southampton,False,0.7458528026894494,-0.016533644670645515
0,3,female,14.0,0,0,7.8542,S,False,Southampton,True,-1.1794556574976864,-0.48780077009299977
1,2,female,55.0,0,0,16.0,S,False,Southampton,True,1.9780502172092163,-0.3238931431005224
0,3,male,2.0,4,1,29.125,Q,False,Queenstown,False,-2.1036037183875114,-0.05979537440054633
1,2,male,28.0,0,0,13.0,S,True,Southampton,True,-0.10128291979289035,-0.38425834737480263
0,3,female,31.0,1,0,18.0,S,False,Southampton,False,0.12975409542956595,-0.28364967358433557
1,3,female,28.0,0,0,7.225,C,False,Cherbourg,True,-0.10128291979289035,-0.5004613656027921
0,2,male,35.0,0,0,26.0,S,True,Southampton,True,0.4378034490595077,-0.12267579551958825
1,2,male,34.0,0,0,13.0,S,True,Southampton,True,0.36079111065202224,-0.38425834737480263
1,3,female,15.0,0,0,8.0292,Q,False,Queenstown,True,-1.102443319090201,-0.4842794665103334
1,1,male,28.0,0,0,35.5,S,True,Southampton,True,-0.10128291979289035,0.06848068468229919
0,3,female,8.0,3,1,21.075,S,False,Southampton,False,-1.641529687942599,-0.22177533920319834
1,3,female,38.0,1,5,31.3875,S,False,Southampton,False,0.668840464281964,-0.014269949510359993
0,3,male,28.0,0,0,7.225,C,True,Cherbourg,True,-0.10128291979289035,-0.5004613656027921
0,1,male,19.0,3,2,263.0,S,True,Southampton,False,-0.7943939654602592,4.646175342148551
1,3,female,28.0,0,0,7.8792,Q,False,Queenstown,True,-0.10128291979289035,-0.48729772672404736
0,3,male,28.0,0,0,7.8958,S,True,Southampton,True,-0.10128291979289035,-0.486963705927063
0,1,male,40.0,0,0,27.7208,C,True,Cherbourg,True,0.8228651410969349,-0.08805031434786109
1,1,female,28.0,1,0,146.5208,C,False,Cherbourg,False,-0.10128291979289035,2.3024117749136366
1,3,female,28.0,0,0,7.75,Q,False,Queenstown,True,-0.10128291979289035,-0.4898974548547931
0,2,male,66.0,0,0,10.5,S,True,Southampton,True,2.8251859396915564,-0.4345626842700362
0,1,male,28.0,1,0,82.1708,C,True,Cherbourg,False,-0.10128291979289035,1.0075781432303252
0,1,male,42.0,1,0,52.0,S,True,Southampton,False,0.9768898179119057,0.40048930819084055
1,3,male,28.0,0,0,7.2292,C,True,Cherbourg,True,-0.10128291979289035,-0.5003768543168081
0,3,male,21.0,0,0,8.05,S,True,Southampton,True,-0.6403692886452884,-0.48386093442736505
0,3,female,18.0,2,0,18.0,S,False,Southampton,False,-0.8714063038677446,-0.28364967358433557
1,3,female,14.0,1,0,11.2417,C,False,Cherbourg,False,-1.1794556574976864,-0.41963839359995825
0,3,female,40.0,1,0,9.475,S,False,Southampton,False,0.8228651410969349,-0.4551874623970819
0,2,female,27.0,1,0,21.0,S,False,Southampton,False,-0.17829525820037578,-0.22328446931005533
0,3,male,28.0,0,0,7.8958,C,True,Cherbourg,True,-0.10128291979289035,-0.486963705927063
1,2,female,3.0,1,2,41.5792,C,False,Cherbourg,False,-2.026591379980026,0.19080473462370068
1,3,female,19.0,0,0,7.8792,Q,False,Queenstown,True,-0.7943939654602592,-0.48729772672404736
0,3,male,28.0,0,0,8.05,S,True,Southampton,True,-0.10128291979289035,-0.48386093442736505
0,3,male,28.0,1,0,15.5,Q,True,Queenstown,False,-0.10128291979289035,-0.33395401047956913
1,3,female,28.0,0,0,7.75,Q,False,Queenstown,True,-0.10128291979289035,-0.4898974548547931
0,3,male,28.0,2,0,21.6792,C,True,Cherbourg,False,-0.10128291979289035,-0.20961778706235826
0,3,female,18.0,1,0,17.8,S,False,Southampton,False,-0.8714063038677446,-0.28767402053595426
0,3,male,7.0,4,1,39.6875,S,False,Southampton,False,-1.7185420263500844,0.15274044898181535
0,3,male,21.0,0,0,7.8,S,True,Southampton,True,-0.6403692886452884,-0.4888913681168884
1,1,female,49.0,1,0,76.7292,C,False,Cherbourg,False,1.5159761867643038,0.8980837113706843
1,2,female,29.0,1,0,26.0,S,False,Southampton,False,-0.024270581385404912,-0.12267579551958825
0,1,male,65.0,0,1,61.9792,C,True,Cherbourg,False,2.748173601284071,0.6012881236888064
1,1,male,28.0,0,0,35.5,S,True,Southampton,True,-0.10128291979289035,0.06848068468229919
1,2,female,21.0,0,0,10.5,S,False,Southampton,True,-0.6403692886452884,-0.4345626842700362
0,3,male,28.5,0,0,7.2292,C,True,Cherbourg,True,-0.06277675058914763,-0.5003768543168081
1,2,female,5.0,1,2,27.75,S,False,Southampton,False,-1.8725667031650552,-0.08746275969292477
0,3,male,11.0,5,2,46.9,S,False,Southampton,False,-1.4104926727201428,0.2978684609245641
0,3,male,22.0,0,0,7.2292,C,True,Cherbourg,True,-0.563356950237803,-0.5003768543168081
0,1,male,45.0,1,0,83.475,S,True,Southampton,False,1.207926833134362,1.0338209097018307
0,3,male,4.0,3,2,27.9,S,False,Southampton,False,-1.9495790415725407,-0.08444449947921079
0,1,male,28.0,0,0,27.7208,C,True,Cherbourg,True,-0.10128291979289035,-0.08805031434786109
1,3,male,28.0,1,1,15.2458,C,True,Cherbourg,False,-0.10128291979289035,-0.3390689554550765
1,2,female,29.0,0,0,10.5,S,False,Southampton,True,-0.024270581385404912,-0.4345626842700362
0,3,male,19.0,0,0,8.1583,S,True,Southampton,True,-0.7943939654602592,-0.4816817505530635
1,3,female,17.0,4,2,7.925,S,False,Southampton,False,-0.9484186422752301,-0.4863761512721267
0,3,male,26.0,2,0,8.6625,S,True,Southampton,False,-0.25530759660786123,-0.4715363718880328
0,2,male,32.0,0,0,10.5,S,True,Southampton,True,0.20676643383705137,-0.4345626842700362
0,3,female,16.0,5,2,46.9,S,False,Southampton,False,-1.0254309806827155,0.2978684609245641
0,2,male,21.0,0,0,73.5,S,True,Southampton,True,-0.6403692886452884,0.8331066054898489
0,3,male,26.0,1,0,14.4542,C,True,Cherbourg,False,-0.25530759660786123,-0.3549973206895832
1,3,male,32.0,0,0,56.4958,S,True,Southampton,True,0.20676643383705137,0.49095260331627694
0,3,male,25.0,0,0,7.65,S,True,Southampton,True,-0.3323199350153466,-0.4919096283306024
0,3,male,28.0,0,0,7.8958,S,True,Southampton,True,-0.10128291979289035,-0.486963705927063
0,3,male,28.0,0,0,8.05,S,True,Southampton,True,-0.10128291979289035,-0.48386093442736505
1,2,male,0.83,0,2,29.0,S,False,Southampton,False,-2.19370815432427,-0.06231059124530801
1,3,female,30.0,0,0,12.475,S,False,Southampton,True,0.05274175702208052,-0.39482225812280164
0,3,male,22.0,0,0,9.0,S,True,Southampton,True,-0.563356950237803,-0.4647452864071763
1,3,male,29.0,0,0,9.5,S,True,Southampton,True,-0.024270581385404912,-0.4546844190281296
1,3,female,28.0,0,0,7.7875,Q,False,Queenstown,True,-0.10128291979289035,-0.48914288980136456
0,1,male,28.0,0,0,47.1,S,True,Southampton,True,-0.10128291979289035,0.30189280787618283
1,2,female,17.0,0,0,10.5,S,False,Southampton,True,-0.9484186422752301,-0.4345626842700362
1,3,female,33.0,3,0,15.85,S,False,Southampton,False,0.2837787722445368,-0.3269114033142364
0,3,male,16.0,1,3,34.375,S,True,Southampton,False,-1.0254309806827155,0.045843733079444095
0,3,male,28.0,0,0,8.05,S,True,Southampton,True,-0.10128291979289035,-0.48386093442736505
1,1,female,23.0,3,2,263.0,S,False,Southampton,False,-0.4863446118303175,4.646175342148551
0,3,male,24.0,0,0,8.05,S,True,Southampton,True,-0.40933227342283207,-0.48386093442736505
0,3,male,29.0,0,0,8.05,S,True,Southampton,True,-0.024270581385404912,-0.48386093442736505
0,3,male,20.0,0,0,7.8542,S,True,Southampton,True,-0.7173816270527738,-0.48780077009299977
0,1,male,46.0,1,0,61.175,S,True,Southampton,False,1.2849391715418474,0.5851062245963475
0,3,male,26.0,1,2,20.575,S,True,Southampton,False,-0.25530759660786123,-0.23183620658224505
0,3,male,59.0,0,0,7.25,S,True,Southampton,True,2.286099570839158,-0.4999583222338398
0,3,male,28.0,0,0,8.05,S,True,Southampton,True,-0.10128291979289035,-0.48386093442736505
0,1,male,71.0,0,0,34.6542,C,True,Cherbourg,True,3.2102476317289836,0.05146172142390384
1,1,male,23.0,0,1,63.3583,C,True,Cherbourg,False,-0.4863446118303175,0.6290380080936929
1,2,female,34.0,0,1,23.0,S,False,Southampton,False,0.36079111065202224,-0.18304099979386848
0,2,male,34.0,1,0,26.0,S,True,Southampton,False,0.36079111065202224,-0.12267579551958825
0,3,female,28.0,0,0,7.8958,S,False,Southampton,True,-0.10128291979289035,-0.486963705927063
0,3,male,28.0,0,0,7.8958,S,True,Southampton,True,-0.10128291979289035,-0.486963705927063
0,1,male,21.0,0,1,77.2875,S,True,Southampton,False,-0.6403692886452884,0.9093176758861277
0,3,male,33.0,0,0,8.6542,S,True,Southampton,True,0.2837787722445368,-0.47170338228652503
0,3,male,37.0,2,0,7.925,S,True,Southampton,False,0.5918281258744785,-0.4863761512721267
0,3,male,28.0,0,0,7.8958,S,True,Southampton,True,-0.10128291979289035,-0.486963705927063
1,3,female,21.0,0,0,7.65,S,False,Southampton,True,-0.6403692886452884,-0.4919096283306024
1,3,male,28.0,0,0,7.775,S,True,Southampton,True,-0.10128291979289035,-0.4893944114858408
0,3,male,38.0,0,0,7.8958,S,True,Southampton,True,0.668840464281964,-0.486963705927063
1,3,female,28.0,1,0,24.15,Q,False,Queenstown,False,-0.10128291979289035,-0.1599010048220611
0,1,male,47.0,0,0,52.0,S,True,Southampton,True,1.361951509949333,0.40048930819084055
0,3,female,14.5,1,0,14.4542,C,False,Cherbourg,False,-1.1409494882939437,-0.3549973206895832
0,3,male,22.0,0,0,8.05,S,True,Southampton,True,-0.563356950237803,-0.48386093442736505
0,3,female,20.0,1,0,9.825,S,False,Southampton,False,-0.7173816270527738,-0.44814485523174924
0,3,female,17.0,0,0,14.4583,C,False,Cherbourg,True,-0.9484186422752301,-0.354914821577075
0,3,male,21.0,0,0,7.925,S,True,Southampton,True,-0.6403692886452884,-0.4863761512721267
0,3,male,70.5,0,0,7.75,Q,True,Queenstown,True,3.1717414625252407,-0.4898974548547931
